epoch,accuracy,loss,val_accuracy,val_loss
0,0.6425728797912598,1.280176043510437,0.8949416279792786,0.404731810092926
1,0.946550190448761,0.1934659332036972,0.9835863709449768,0.06509602814912796
2,0.9750973582267761,0.08949172496795654,0.9899709820747375,0.0348624661564827
3,0.9830866456031799,0.05876569822430611,0.993423581123352,0.023279262706637383
4,0.9866520166397095,0.046456944197416306,0.9934509992599487,0.022514743730425835
5,0.9859334826469421,0.04708917438983917,0.9940811991691589,0.018789241090416908
6,0.9888929128646851,0.03750055283308029,0.9944648146629333,0.019103050231933594
7,0.9898306727409363,0.03377774357795715,0.9950402975082397,0.017366774380207062
8,0.990655779838562,0.03150670975446701,0.9947936534881592,0.01736472174525261
9,0.9909724593162537,0.03000449575483799,0.9949854612350464,0.0161390770226717
10,0.9913774132728577,0.029083751142024994,0.995122492313385,0.01842658780515194
11,0.9913408756256104,0.02924146130681038,0.9950676560401917,0.01855546236038208
12,0.9915326833724976,0.028375297784805298,0.9949854612350464,0.019291384145617485
13,0.991170346736908,0.029725413769483566,0.9952868819236755,0.01851574517786503
14,0.991742730140686,0.027907676994800568,0.9950402975082397,0.01790565997362137
15,0.9921111464500427,0.027568556368350983,0.9950402975082397,0.017892953008413315
16,0.9918950200080872,0.027434999123215675,0.9954239130020142,0.01779199205338955
17,0.9923577904701233,0.026233170181512833,0.9950402975082397,0.02022976614534855
18,0.9920350313186646,0.02732808329164982,0.9951772689819336,0.019635232165455818
19,0.992662250995636,0.025792241096496582,0.9948758482933044,0.02252800576388836
