epoch,accuracy,loss,val_accuracy,val_loss
0,0.6053544282913208,1.4406853914260864,0.5887817144393921,2.450889825820923
1,0.9427808523178101,0.20568612217903137,0.9593631625175476,0.15138429403305054
2,0.9743788242340088,0.0909721702337265,0.9894229173660278,0.03979763388633728
3,0.982654333114624,0.06050620600581169,0.9914506673812866,0.029132334515452385
4,0.9865941405296326,0.046569403260946274,0.9938071966171265,0.02198146842420101
5,0.9889659881591797,0.03808585926890373,0.9941086173057556,0.019370906054973602
6,0.9901381731033325,0.034296125173568726,0.9942182302474976,0.019654201343655586
7,0.9905461668968201,0.03275987133383751,0.9943004250526428,0.01767747849225998
8,0.9910911917686462,0.03025413677096367,0.9947662353515625,0.017410682514309883
9,0.9910881519317627,0.029505550861358643,0.9944648146629333,0.019739897921681404
10,0.9917823672294617,0.028030559420585632,0.9949306845664978,0.016279112547636032
11,0.9920259118080139,0.027238762006163597,0.994601845741272,0.018463831394910812
12,0.9920898675918579,0.0268574059009552,0.9949306845664978,0.018824759870767593
13,0.9924125671386719,0.025765875354409218,0.9948758482933044,0.017485136166214943
14,0.9922968745231628,0.025978149846196175,0.9953964948654175,0.01588187925517559
15,0.9930520057678223,0.023738281801342964,0.9953690767288208,0.019807912409305573
16,0.9928966760635376,0.024641886353492737,0.9953690767288208,0.015942338854074478
17,0.9929363131523132,0.023875460028648376,0.995122492313385,0.018683426082134247
18,0.9930824041366577,0.02429163083434105,0.9953417181968689,0.016837557777762413
19,0.9932042360305786,0.023171324282884598,0.9950950741767883,0.017196081578731537
